전시회명,개최기간,개최국,개최도시,개최장소(베뉴),축제URL,축제소개
BBTech Expo,21. - 23. February 2027,Italy,Rimini,Rimini Fiera,en.bbtechexpo.com,"The ""Beer & Beverage Technologies Expo"" (BBTech Expo) is a trade fair dedicated to technologies and innovations in the beer and beverage industry. It takes place annually at the Rimini Expo Centre in Rimini, Italy, and is organized by the Italian Exhibition Group SpA (IEG). As a key industry gathering, the event provides a comprehensive platform for experts, producers, and trade visitors from around the world to explore the latest developments in beverage production and processing. The BBTech Expo focuses on modern processing technologies, filling systems, raw materials, packaging solutions, as well as specialized equipment and services tailored to the needs of the beer and beverage industry. Leading companies showcase innovative machinery, sustainable production methods, and groundbreaking solutions that significantly influence the market. The fair is particularly relevant for breweries, beverage manufacturers, suppliers, and distribution companies, offering a valuable opportunity to network with industry experts and establish new business connections. A special highlight of the event is the Beer&Tech Arena, which bridges beer culture and technological innovation. In collaboration with universities, consortia, and industry associations, it hosts seminars, workshops, and expert discussions that provide in-depth insights into emerging trends and research findings. The BBTech Expo attracts a diverse audience, including brewers, beverage technologists, machine builders, raw material suppliers, packaging specialists, as well as sales and marketing professionals. It appeals to both established market players and startups looking to shape the industry's future. Additionally, the fair is closely linked with SIGEP – The Dolce World Expo, a prestigious food industry event held concurrently in Rimini. The city of Rimini, located on the Italian Adriatic coast, offers a modern exhibition center with excellent infrastructure and accessibility. The Rimini Expo Centre is well connected to the international airport, high-speed rail network, and major highways, ensuring convenient access for visitors from across Europe and beyond. In addition to attending the trade fair, visitors can explore Rimini's historic old town, rich in cultural landmarks and renowned for its legendary Italian hospitality. The BBTech Expo is not just a trade fair but a must-attend event for those eager to actively shape the future of the beverage industry."
ProWine,07. - 09. March 2027,Germany,Düsseldorf,Messe Düsseldorf,www.prowein-world.com/en/ProWein_D%C3%BCsseldorf,"The ProWine in Düsseldorf is recognized as the leading international trade fair for the wine and spirits industry, providing an essential platform for professional visitors from retail, wholesale, gastronomy, hotel industry, and the processing industry. Since its inception in 1994, it has evolved into an annual highlight in March, organized by Messe Düsseldorf GmbH. The fair impresses with its comprehensive presentation of the global market, bringing together experts and leading figures from the industry. Visitors have the opportunity to discover a wide range of products and services including classic wines, sparkling wines, exotic spirits, mineral water, gastronomy accessories, IT solutions, specialized literature, and more. Additionally, craft beer, craft spirits, and cider are gaining importance and enriching the selection. A focal point is the presentation of internationally renowned wineries and their high-quality products from various grape varieties. Products from organic farming are also showcased, highlighting the growing significance of sustainable cultivation methods. Beyond the exhibition, ProWein serves as a forum for knowledge exchange and inspiration. Theme-specific tastings, diverse lectures, discussion rounds, and culinary events enhance the trade fair experience. These activities offer professional visitors unique insights and learning opportunities, both at the stands and in the ProWein Forum and in the tasting zone Munus Vini. Messe Düsseldorf, with its modern infrastructure and central location, provides an ideal base for this international event. The halls are specifically designed to facilitate exchange and networking between exhibitors and professional visitors, while ensuring a pleasant and efficient fair experience. In summary, ProWein is an indispensable event for professionals in the wine and spirits industry aiming for international success. It offers a comprehensive overview of current trends and innovations, valuable networking opportunities, and a versatile program for further education and inspiration."
Beer Warsaw Expo,09. - 11. March 2027,Poland,Nadarzyn,PTAK Warsaw Expo,beerwarsawexpo.com/en,"The ""Beer Warsaw Expo"" is a trade fair dedicated to the world of brewing products. It takes place annually at the Ptak Warsaw Expo in Nadarzyn, a renowned exhibition center near Warsaw. The fair is organized by Ptak Warsaw Expo Sp. z o.o., which is committed to presenting a wide range of products and services from the brewing industry. The fair offers a platform where everything related to beer brewing – from raw materials to finished products – is showcased. Companies and professionals have the opportunity to establish their brands, present their successes, and exchange ideas about the latest trends and technologies. The main themes of the fair include brewing technologies, new beer varieties, packaging solutions, and marketing strategies. The Beer Warsaw Expo presents a variety of products and services focused on the brewing industry. The main categories include brewery equipment and technology, such as brewing kettles, fermentation tanks, cooling systems, filling and packaging machines, as well as cleaning and sterilization technologies. Ingredients and raw materials such as malt, hops, yeast, and various additives are also showcased. Packaging solutions like bottles, cans, labeling systems, and packaging materials are part of the offer. Additionally, emphasis is placed on software and technology for brewery management, quality control, and laboratory equipment for analysis and quality assurance of beer to ensure consistency and high standards. Overall, the Beer Warsaw Expo provides a comprehensive overview of current trends, innovations, and services in the brewing industry, thus establishing itself as a central meeting point for all industry players. The Beer Warsaw Expo gains importance not only locally but also nationally, as it attracts Polish and international exhibitors and visitors. It reflects the dynamic beer culture of the country and promotes the exchange of ideas and business contacts. Highlights of the fair include various lectures and an industry conference, conducted by experienced practitioners and industry experts. The exhibitors come from various areas of the brewing industry, including manufacturers of brewery equipment, suppliers of raw materials, and specialists in marketing and sales. The main target group of the fair includes professionals from the brewing industry, gastronomy, as well as beer enthusiasts and experts looking for new trends and products. In conclusion, the Ptak Warsaw Expo in Nadarzyn impresses not only with its modern facilities and considerable size but also with its good accessibility. It creates an ideal environment for networking and business deals, making the Beer Warsaw Expo an indispensable event for everyone in the brewing industry."
DRINKTECH,10. - 12. March 2027,Vietnam,Ho Chi Minh City,SECC Saigon Exhibition & Convention Center,propakvietnam.com,"DRINKTECH, an integral part of ProPak Vietnam and a trade fair dedicated exclusively to technologies, equipment, and solutions for the beverage industry, has established itself as a significant business platform since its inception in 2024. It successfully connects global suppliers with local and regional beverage providers in Vietnam and beyond. Its annual occurrence emphasizes its crucial role and commitment to presenting the industry with continuously innovative solutions. The fair is organized by Informa Markets Vietnam in cooperation with SES Vietnam Exhibition Services Co., Ltd. This partnership ensures professional management and offers a wide range of themes and focal points. Visitors can look forward to a variety of products and services ranging from modern technologies in beverage production to packaging solutions and quality control systems. A special highlight of DRINKTECH is the opportunity for exhibitors to present their innovations directly. This offers visitors the chance to experience the latest trends and technologies up close. The beer tasting corner is particularly noteworthy, not only exciting visitors but also facilitating informal exchanges between experts and enthusiasts. The event is further complemented by a comprehensive conference program that brings together renowned speakers from around the world to discuss current issues and challenges in the beverage industry. The conferences and workshops provide deep insights and present solutions. The Saigon Exhibition & Convention Center (SECC) in Ho Chi Minh City, known for its modern infrastructure and convenient location, serves as the venue. It offers ideal conditions for DRINKTECH and eases the arrival for both national and international participants. With its capacity and facilities, the SECC supports an effective presentation of the exhibitors and their products. In summary, DRINKTECH within ProPak Vietnam represents a unique platform for professionals in the beverage industry to learn about the latest technologies and market trends, establish business contacts, and further their education. Its significance as a meeting point for the global and regional beverage industry is enhanced by a versatile exhibition and conference offer, as well as its strategic position in the heart of Southeast Asia."
The Pub Show,05. - 07. April 2027,United Kingdom of Great Britain and Northern Ireland,London,ExCeL London,www.thepubshow.co.uk,"The Pub Show in London is the only event in the UK dedicated exclusively to the pub sector. Organized by the prestigious Montgomery Group, it takes place annually at ExCeL London, one of the leading international exhibition and conference centers. ExCeL London is distinguished by its excellent accessibility and modern infrastructure, making it the ideal meeting place for exhibitors and visitors from around the world to conduct business and exchange knowledge. Serving as a central forum for trends, innovations, and business opportunities in the pub sector, the fair provides a platform for discussions and sessions on current developments and influences in the industry. Experts and industry leaders share their expertise and insights to give participants a deeper understanding of the sector. A special highlight is the designer beer garden, which offers a relaxed atmosphere for networking. Here, attendees can experience and test the latest products. The fair also serves as a platform for introducing new products and services relevant to the pub sector, from beverages and food to equipment and technology. Moreover, ""The Pub Show"" facilitates the generation of new business opportunities and the maintenance of existing relationships. Its integration into the Food, Drink & Hospitality Week enhances the event's reach and influence by creating synergies with related industries and presenting a broader range of products and services. With its focus on innovation and progress, the fair is an indispensable opportunity for industry professionals to network, learn, and grow. As an annual event, it is a unique platform for anyone involved in or interested in the pub sector, significantly contributing to shaping the industry's future."
Seoul Bar & Spirit Show,12. - 14. November 2027,South Korea,Seoul,COEX Convention and Exhibition Center,barshow.co.kr,"The ""Seoul Bar & Spirit Show"", established in 2021, is the only expo in Korea that exclusively specializes in high-quality spirits and bar culture. Known by the acronym SBSS, this annual event takes place in the prestigious COEX Convention and Exhibition Center in Seoul, organized by the experienced Exporum. As a platform for the latest trends and innovations in the spirits industry, SBSS attracts a wide audience – from industry experts and bar enthusiasts to professional visitors from various fields. The expo presents a variety of spirits, including whisky, cognac, rum, gin, vodka, and tequila, complemented by liqueurs, cocktails, beer, wine, and traditional Korean spirits. Additionally, gourmet foods as well as household appliances and equipment are showcased. This expo offers a unique opportunity for networking among industry experts who share a passion for bars and their unique atmosphere. It is also an important source of expertise and fosters the exchange of new trends. A highlight of the expo is the ""WORLD COCKTAIL BATTLE"", a competition that spotlights creative bartenders and their innovative cocktail creations. The exhibitors at the SBSS come from various sectors, including spirit producers, distributors, restaurateurs, and suppliers of bar equipment. Although the expo is primarily intended for professional visitors from these sectors, it also attracts a wide audience of bar enthusiasts and spirit lovers. The Seoul Bar & Spirit Show is closely connected to the dynamic, rapidly evolving bar culture of Korea and reflects the influence of Seoul as a vibrant center for gastronomy and nightlife. In conclusion, it is worth emphasizing that the COEX Convention and Exhibition Center in Seoul not only impresses with its central location but also with its excellent accessibility. It is a hub for cultural and business events in the city and offers modern infrastructure, making the Seoul Bar & Spirit Show an unforgettable event. The first day of the trade fair is reserved exclusively to professional visitors."
USA Trade Tasting,Date still unknown,USA,Chicago,Morgan MFG,usatradetasting.com,"The USA Trade Tasting (USATT) is an annual trade fair held in Chicago, dedicated entirely to the world of alcoholic beverages and serving as a central meeting point for industry professionals. Founded by the renowned Beverage Trade Network—an internationally recognized supporter of small and medium-sized importers and distributors—USATT has become a key platform for connecting international brands with the U.S. market. The event is exclusively open to trade visitors, including retailers, distributors, bartenders, sommeliers, wholesalers, and importers. It offers a specialized opportunity to discover new products, gain practical industry insights, and establish targeted business connections. The focus lies on solutions for market entry and distribution in the United States, complemented by in-depth knowledge of market trends, legal frameworks, and developments in sustainability, digitalization, and brand strategy. A core component of the event is the ABID Conference (Alcohol Beverage Importers & Distributors Conference), where leading experts address current topics such as logistics, e-commerce, import regulations, and storytelling in brand building. Through masterclasses and expert presentations, participants receive actionable insights on how to successfully position their brands in the highly competitive U.S. market. Practical topics such as compliance, packaging innovations, and social media strategies are also explored. While discovering new products remains a priority, the event equally emphasizes the development of long-term business partnerships. The UK counterpart to USATT is the UK Trade Tasting, held annually in London. The venue for the USATT is the modern Morgan MFG, a former industrial space in the heart of Chicago. With its urban atmosphere and state-of-the-art facilities, it provides the ideal setting for tastings, networking, and presentations. Visitors can explore a wide variety of products across wine, beer, spirits, and non-alcoholic beverages—many of which are being introduced to the U.S. market for the first time. More than just a trade fair, USATT is a strategic launchpad for brands looking to establish or expand their presence in the U.S. With its sharp focus, expert curation, and global relevance, it stands out as one of the few events worldwide that is at once practical, distinctive, and highly specialized—a must-attend for anyone committed to shaping the future of the beverage trade."
Barcelona Beer Festival (BBF),Expected April 2027,Spain,Barcelona,Fira de Barcelona,barcelonabeerfestival.com,"The ""Barcelona Beer Festival"" (BBF) is the most significant trade fair and the largest craft beer festival in Southern Europe. As the heart of the international craft beer scene, it transforms the Catalan metropolis into the center of beer culture for three days. Organized by Beer Events, S.L., the BBF takes place annually at Fira de Barcelona, attracting brewers, traders, restaurateurs, and beer enthusiasts from around the world. At its core, the festival celebrates artisanal brewing, showcasing an impressive variety of creative beers with innovative flavors and aromas. Visitors have the opportunity to sample hundreds of beers presented by international, national, and local breweries. Experienced ""Beer Informers"" are on hand to offer guidance and help guests find the perfect beer to suit their taste preferences. Beyond enjoyment, the BBF fosters professional exchange within the industry. The parallel event, InnBrew, provides a platform for brewery and gastronomy professionals to discuss emerging trends, new technologies, and market strategies. Another highlight is the Barcelona Beer Challenge, one of Europe's most prestigious beer competitions, recognizing the best beers of the past year. Additionally, the Gastro Show emphasizes the close connection between craft beer and gastronomy, offering innovative food pairings and culinary experiences. Barcelona, as a vibrant metropolis with a deeply rooted culinary and artisanal beer culture, is the ideal host for this unique event. The city embodies creativity, indulgence, and innovation—values that the BBF also represents. Fira de Barcelona, one of Europe’s leading exhibition and convention centers, provides the perfect infrastructure and excellent transport connections. The Barcelona Beer Festival is more than just a trade fair—it is a movement, a gathering place for everyone passionate about the art of craft beer and its evolution. Whether brewer, restaurateur, or beer enthusiast, people come together to discover, learn, and enjoy. Year after year, the BBF sets new standards, demonstrating the endless diversity of the craft beer world."
KIBEX - Korea International Beer Expo,Expected April 2027,South Korea,Seoul,COEX Convention and Exhibition Center,www.beerexpo.kr,"KIBEX – Korea International Beer Expo is South Korea’s leading trade fair for the beer and brewing industry and one of the most important industry gatherings in the Asian brewing landscape. Once a year, the global beer community meets at the renowned COEX Convention and Exhibition Center in the heart of Seoul to exchange insights on the latest developments, trends, and technological innovations. The event is organized by the Global MICE Experts Group (GMEG) – a seasoned specialist in international business events, with a strong focus on professional excellence and strategic networking. What sets KIBEX apart is its clearly defined, industry-specific focus: The expo uniquely combines market developments, technical innovations in brewing, evolving consumer trends, and global perspectives. From new raw materials and state-of-the-art brewing equipment to digital process solutions, safety and quality standards, and export strategies – KIBEX offers a comprehensive platform for expertise, product innovation, and forward-thinking solutions across the entire beer value chain. A key highlight of the event is KIBCON – Korea International Beer Conference, an international forum featuring expert presentations and panel discussions on market analysis, innovation strategies, and global challenges facing the brewing industry. Complementing the expo is the prestigious KIBA – Korea International Beer Award, a global competition in which beers from around the world are evaluated by an international panel of experts – a mark of quality with significant impact in the international market. KIBEX attracts a diverse professional audience, including brewers, beverage manufacturers, suppliers, distributors, importers, equipment providers, and hospitality professionals. Exhibitors represent key sectors such as beer production, brewing technology, packaging, logistics, raw materials, and specialized services. This makes KIBEX a valuable hub for business development, product showcasing, and exploring new market opportunities. One of the most appreciated features is the Business Matching Program, which facilitates targeted international partnerships between producers, distributors, and buyers. In addition, interactive programs such as the “Brew It Yourself” Academy for homebrewers, guided tours, and live demonstrations create a hands-on, experience-oriented atmosphere that combines knowledge-sharing with engaging networking opportunities. The venue – the COEX Convention and Exhibition Center in Gangnam, Seoul – is one of Asia’s most advanced exhibition centers, offering excellent infrastructure and connectivity. With direct access to the city’s subway network, international hotels, shopping malls, and a wide range of dining options, COEX provides ideal conditions for a successful trade show visit in one of Asia’s most dynamic metropolitan cities."
DRINK SEOUL,Expected April 2027,South Korea,Seoul,COEX Convention and Exhibition Center,drinkseoul-en.imweb.me/MAIN,"DRINK SEOUL is South Korea’s premier trade fair for the national and international beverage industry. Held annually at the renowned COEX Convention and Exhibition Center in Seoul – one of Asia’s most advanced venues for exhibitions and events – the show is organized by the Global MICE Experts Group (GMEG), a seasoned provider of international B2B trade events with a strong focus on networking platforms. As a central industry meeting point for manufacturers, distributors, buyers, and professionals from the beverage, food, and hospitality sectors, DRINK SEOUL offers a high-caliber platform to showcase and discover the latest trends, technologies, and products. Exhibitors range from breweries, wineries, and spirits producers to makers of traditional Korean beverages, as well as suppliers of raw materials, machinery, equipment, franchise concepts, and retail technologies. The fair also features MD products, by-products, and specialized services such as training and consulting. A particular emphasis is placed on the diverse and innovative world of beverages – from craft beer and premium spirits to trending non-alcoholic drinks – and on the fusion of traditional brewing and distilling craftsmanship with forward-thinking product design. DRINK SEOUL positions itself not only as a trade fair, but also as a source of inspiration, a trend monitor, and a professional development hub. Masterclasses, seminars, and tasting sessions covering categories such as wine, sake, mead, and soju provide deep insights into the history, production methods, and sensory characteristics of these drinks. International competitions and cultural showcases – including those held in parallel with the Korea International Beer Expo (KIBEX) – make the event an immersive experience, highlighting Korea’s cultural identity as a country rich in tradition yet open to innovation. The combination of business matching, networking events, and knowledge-sharing opportunities makes DRINK SEOUL especially valuable for decision-makers in sales, retail, gastronomy, hospitality, as well as importers, export agencies, and franchise providers. DRINK SEOUL offers a prominent stage for both local start-ups and global brands to position themselves in the dynamic South Korean market and build sustainable partnerships. The venue – COEX in Seoul’s Gangnam district – is easily accessible via several subway lines and ideally situated amidst hotels, restaurants, and shopping areas, making it convenient for both domestic and international visitors. Anyone who doesn’t want to miss the next big development in the beverage industry can’t afford to overlook DRINK SEOUL."
Vyno Dienos (Wine Days),Expected May 2027,Lithuania,Vilnius,Litexpo - Lithuanian Exhibition Center,www.vynodienos.lt,"Vyno Dienos (Wine Days) is the largest and most prestigious wine fair in the Baltic region. Held annually at LITEXPO, the Lithuanian Exhibition and Congress Centre in Vilnius—the capital of Lithuania—the event has, since its inception in 2005, become a major meeting point for industry professionals and wine enthusiasts aged 20 and above. It has gained international recognition and is organized by Vyno Klubas, a dedicated Lithuanian organization committed to promoting wine knowledge and culture, widely regarded as a leading force in the industry. More than just a showcase for global wine trends, Vyno Dienos plays a key role in supporting Lithuania’s young but rapidly growing wine scene. It brings together wine lovers, winemakers, importers, distributors, and experts from both Lithuania and abroad, offering a unique platform for professional exchange, product discovery, and sensory experiences. The event primarily focuses on European wines, complemented by a curated selection of sparkling wines, mead, and craft beers. A standout feature of the fair is its guided tastings, where attendees can interact directly with producers and sample rare or newly released wines. The tasting experience is enriched by a thoughtfully selected range of gourmet foods and delicacies that pair perfectly with the wines on offer. The event also features a diverse educational program, including workshops, seminars, and expert-led lectures—some geared toward sommelier training—designed to deepen wine knowledge at an advanced level. In addition, the fair showcases wine accessories and cutting-edge technologies related to wine production and storage. Visitors also gain insights into wine tourism opportunities and destinations, appealing to both private travelers and tour operators. Networking events further encourage direct connections between producers, trade professionals, and retailers, creating fertile ground for new collaborations. With its blend of international scope, regional focus, high-quality educational content, and immersive tasting experiences, Vyno Dienos stands out as a one-of-a-kind wine fair—a must-attend annual event for industry experts and passionate wine lovers alike. Admission to the fair is strictly permitted only to persons aged 20 and over."
FoodEx Cambodia,Expected August 2027,Cambodia,Phnom Penh,Diamond Island Convention and Exhibition Center,foodex-cambodia.com,"FoodEx Cambodia (Food Exhibition Cambodia) is the leading trade fair for the food and beverage industry in Cambodia. Held annually at the Diamond Island Convention and Exhibition Center (DIECC) in Phnom Penh, the event is organized by VEAS Co., Ltd. It is specifically designed for professionals from the retail, manufacturing, hospitality, and food service sectors who are seeking insights into the latest trends, technologies, and products in food, packaging, and processing. What sets FoodEx Cambodia apart is its clear focus on the needs of the Southeast Asian market, combined with an international outlook. The exhibition showcases a wide range of food products – from fresh fruits and vegetables, meat and poultry, and seafood to dairy products, delicacies, beverages, dietary supplements, and organic foods. This diverse offering is complemented by state-of-the-art food processing technologies, specialized machinery, innovative packaging solutions, as well as refrigeration and storage systems. Equipment for restaurants, hotels, and large-scale kitchens is also on display, making the fair a comprehensive platform that covers the entire value chain of the industry. The event reflects Cambodia’s economic growth and the increasing professionalization of its food and hospitality sectors. At the same time, it serves as an international hub for innovation and business development in a region marked by rising consumer awareness. Exhibitors from around the world – including food producers, machinery manufacturers, and packaging technology providers – connect with a highly engaged audience of importers, wholesalers, retail chains, hospitality professionals, investors, and key industry decision-makers. A core feature of the fair is its supporting program of conferences and seminars, where renowned industry experts share insights into current market developments, technological innovations, and sustainable solutions. Networking events and B2B matchmaking sessions add further value, establishing FoodEx Cambodia as a must-attend event on the industry calendar. The venue – the Diamond Island Convention and Exhibition Center – is centrally located on Koh Pich (Diamond Island) in Phnom Penh. Thanks to its convenient access via the international airport, major roads, and public transport, the exhibition center is easily reachable. With its modern infrastructure, spacious exhibition halls, and proximity to hotels and restaurants, the DIECC provides the ideal setting for an event of this scale."
Inter Food EXPO,Expected September 2027,Armenia,Yerevan,Karen Demirchyan-Komplex,www.expo.am,"The "" Inter Food EXPO "", held annually at the Karen Demirchyan-Komplex in Yerevan, Armenia, is an international trade fair for the food industry. Organized by the Logos Expo Center, it has established itself as an indispensable platform for industry leaders and representatives from both wholesale and retail sectors. Armenia's geographical position, increasingly important in global food production and distribution, adds significant relevance to the fair. The aim of the Inter Food EXPO is to showcase a wide range of products and services. These include meat and dairy products, non-alcoholic beverages, mineral water, spirits, tobacco products, confectioneries, and ice cream. The fair also presents the latest technologies in food production and packaging, making it an essential gathering for professionals in the field. The fair not only offers insights into innovations and new products but also serves as an educational platform. Seminars and round-table discussions on current issues and future perspectives of the food industry are held, emphasizing its role as a place for learning and professional exchange. Annually, the fair attracts a diverse array of industry representatives, including manufacturers, suppliers, wholesalers, and retailers. It is also a magnet for restaurateurs and governmental regulatory bodies, highlighting the variety of participants and the broad interest it generates. The Karen Demirchyan-Komplex, with its modern facilities and convenient access, is an ideal venue. Moreover, Yerevan's rich cultural and historical context provides additional incentives for international visitors to attend the fair and take the opportunity to explore Armenia."
